"STATION","NAME","DATE","TMAX","TMIN"
"USC00040693","BERKELEY, CA US","2022-04-17","61","42"
"USC00040693","BERKELEY, CA US","2022-04-18","66","50"
"USC00040693","BERKELEY, CA US","2022-04-19","71","50"
"USC00040693","BERKELEY, CA US","2022-04-20","62","51"
"USC00040693","BERKELEY, CA US","2022-04-21","70","42"
"USC00040693","BERKELEY, CA US","2022-04-22","69","46"
"USC00040693","BERKELEY, CA US","2022-04-23","69","49"
"USC00040693","BERKELEY, CA US","2022-04-24","71","49"
"USC00040693","BERKELEY, CA US","2022-04-25","69","50"
"USC00040693","BERKELEY, CA US","2022-04-26","69","47"
"USC00040693","BERKELEY, CA US","2022-04-27","67","48"
"USC00040693","BERKELEY, CA US","2022-04-28","70","46"
"USC00040693","BERKELEY, CA US","2022-04-29","71","51"
"USC00040693","BERKELEY, CA US","2022-04-30","69","46"
"USC00040693","BERKELEY, CA US","2022-05-01","68","49"
"USC00040693","BERKELEY, CA US","2022-05-02","79","47"
"USC00040693","BERKELEY, CA US","2022-05-03","75","47"
"USC00040693","BERKELEY, CA US","2022-05-04","65","51"
"USC00040693","BERKELEY, CA US","2022-05-05","67","55"
"USC00040693","BERKELEY, CA US","2022-05-06","70","50"
"USC00040693","BERKELEY, CA US","2022-05-07","63","46"
"USC00040693","BERKELEY, CA US","2022-05-08","61","44"
"USC00040693","BERKELEY, CA US","2022-05-09","63","43"
"USC00040693","BERKELEY, CA US","2022-05-10","67","43"
"USC00040693","BERKELEY, CA US","2022-05-11","66","44"
"USC00040693","BERKELEY, CA US","2022-05-12","76","49"
"USC00040693","BERKELEY, CA US","2022-05-13","76","52"
"USC00040693","BERKELEY, CA US","2022-05-14","75","53"
"USC00040693","BERKELEY, CA US","2022-05-15","69","53"
"USC00040693","BERKELEY, CA US","2022-05-16","78","49"
"USC00040693","BERKELEY, CA US","2022-05-17","86","50"
"USC00040693","BERKELEY, CA US","2022-05-18","82","56"
"USC00040693","BERKELEY, CA US","2022-05-19","81","50"
"USC00040693","BERKELEY, CA US","2022-05-20","75","50"
